,artist,song,link,text
0,ABBA,Ahe's My Kind Of Girl,/a/abba/ahes+my+kind+of+girl_20598417.html,"look at her face its a wonderful face  
and it means something special to me  
look at the way that she smiles when she sees me  
how lucky can one fellow be  
  
shes just my kind of girl she makes me feel fine  
who could ever believe that she could be mine  
shes just my kind of girl without her im blue  
and if she ever leaves me what could i do what could i do  
  
and when we go for a walk in the park  
and she holds me and squeezes my hand  
well go on walking for hours and talking  
about all the things that we plan  
  
shes just my kind of girl she makes me feel fine  
who could ever believe that she could be mine  
shes just my kind of girl without her im blue  
and if she ever leaves me what could i do what could i do

"
1,ABBA,"Andante, Andante",/a/abba/andante+andante_20002708.html,"take it easy with me please  
touch me gently like a summer evening breeze  
take your time make it slow  
andante andante  
just let the feeling grow  
  
make your fingers soft and light  
let your body be the velvet of the night  
touch my soul you know how  
andante andante  
go slowly with me now  
  
im your music  
i am your music and i am your song  
im your song  
i am your music and i am your song  
play me time and time again and make me strong  
play me again cause youre making me strong  
make me sing make me sound  
you make me sing and you make me  
andante andante  
tread lightly on my ground  
andante andante  
oh please dont let me down  
  
theres a shimmer in your eyes  
like the feeling of a thousand butterflies  
please dont talk go on play  
andante andante  
and let me float away  
  
im your music  
i am your music and i am your song  
im your song  
i am your music and i am your song  
play me time and time again and make me strong  
play me again cause youre making me strong  
make me sing make me sound  
you make me sing and you make me  
andante andante  
tread lightly on my ground  
andante andante  
oh please dont let me down  
  
make me sing make me sound  
you make me sing and you make me  
andante andante  
tread lightly on my ground  
andante andante  
oh please dont let me down  
andante andante  
oh please dont let me down

"
2,ABBA,As Good As New,/a/abba/as+good+as+new_20003033.html,"ill never know why i had to go  
why i had to put up such a lousy rotten show  
boy i was tough packing all my stuff  
saying i dont need you anymore ive had enough  
and now look at me standing here again cause i found out that  
ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma my life is here  
gotta have you near  
  
as good as new my love for you  
and keeping it that way is my intention  
as good as new and growing too  
yes i think its taking on a new dimension  
its as good as new my love for you  
just like it used to be and even better  
as good as new thank god its true  
darling we were always meant to stay together  
  
feel like a creep never felt so cheap  
never had a notion that my love could be so deep  
how could i make such a dumb mistake  
now i know im not entitled to another break  
but please baby i beg you to forgive cause i found out that  
ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma my life is here  
gotta get you near  
  
i thought that our love was at an end but here i am again  
  
as good as new my love for you  
and keeping it that way is my intention  
as good as new and growing too  
yes i think its taking on a new dimension  
its as good as new my love for you  
just like it used to be and even better  
as good as new thank god its true  
darling we were always meant to stay together  
  
yes the love i have for you feels as good as new  
darling we were always meant to stay together

"
3,ABBA,Bang,/a/abba/bang_20598415.html,"making somebody happy is a question of give and take  
you can learn how to show it so come on give yourself a break  
every smile and every little touch  
dont you know that they mean so much  
sweet sweet kisses so tender  
always will return to sender  
  
like a bang a boomaboomerang  
dumbedumdum bedumbedumdum  
oh bang a boomaboomerang  
love is a tune you humdehumhum  
so give it away i think youll learn  
youll get love in return  
so bang a boomaboomerang is love  
a boomaboomerang is love  
  
love is always around and you can look for it anywhere  
when you feel that youve found it my advice is to take good care  
never use it as a selfish tool  
never ever be such a fool  
every feeling youre showing  
is a boomerang youre throwing  
  
yes a bang a boomaboomerang  
dumbedumdum bedumbedumdum  
oh bang a boomaboomerang  
love is a tune you humdehumhum  
so give it away i think youll learn  
youll get love in return  
so bang a boomaboomerang is love  
  
and if youre warm and tender  
ill kiss you return to sender  
please surrender  
  
bang a boomaboomerang  
dumbedumdum bedumbedumdum  
oh bang a boomaboomerang is love  
a boomaboomerang is love

"
4,ABBA,Bang-A-Boomerang,/a/abba/bang+a+boomerang_20002668.html,"making somebody happy is a question of give and take  
you can learn how to show it so come on give yourself a break  
every smile and every little touch  
dont you know that they mean so much  
sweet sweet kisses so tender  
always will return to sender  
  
like a bang a boomaboomerang  
dumbbedumbdumb bedumbbedumbdumb  
oh bang a boomaboomerang  
love is a tune you humdehumhum  
by giving away i think youll learn  
youll get love in return  
so bang a boomaboomerang is love  
a boomaboomerang is love  
  
love is always around and you can look for it anywhere  
when you feel that youve found it my advice is to take good care  
never use it as a selfish tool  
never ever be such a fool  
every feeling youre showing  
is a boomerang youre throwing  
  
yes a bang a boomaboomerang  
dumbbedumbdumb bedumbbedumbdumb  
oh bang a boomaboomerang  
love is a tune you humdehumhum  
by giving away i think youll learn  
youll get love in return  
so bang a boomaboomerang is love  
  
and if youre warm and tender  
ill kiss you return to sender  
please surrender  
  
bang a boomaboomerang  
dumbbedumbdumb bedumbbedumbdumb  
oh bang a boomaboomerang is love  
a boomaboomerang is love

"
5,ABBA,Burning My Bridges,/a/abba/burning+my+bridges_20003011.html,"well you hoot and you holler and you make me mad  
and ive always been under your heel  
holy christ what a lousy deal  
now im sick and tired of your tedious ways  
and i aint gonna take it no more  
oh no no  walkin out that door  
  
burning my bridges cutting my tie  
once again i wanna look into the eye  
being myself  
counting my pride  
no unright neighbours gonna take me for a ride  
burning my bridges  
moving at last  
girl im leaving and im burying the past  
gonna have peace now  
you can be free  
no one here will make a sucker out of me

"
6,ABBA,Cassandra,/a/abba/cassandra_20002811.html,"down in the street theyre all singing and shouting  
staying alive though the city is dead  
hiding their shame behind hollow laughter  
while you are crying alone on your bed  
  
pity cassandra that no one believed you  
but then again you were lost from the start  
now we must suffer and sell our secrets  
bargain playing smart aching in our hearts  
  
sorry cassandra i misunderstood  
now the last day is dawning  
some of us wanted but none of us would  
listen to words of warning  
but on the darkest of nights  
nobody knew how to fight  
and we were caught in our sleep  
sorry cassandra i didnt believe  
you really had the power  
i only saw it as dreams you would weave  
until the final hour  
  
so in the morning your ship will be sailing  
now that your father and sister are gone  
there is no reason for you to linger  
youre grieving deeply but still moving on  
  
you know the future is casting a shadow  
no one else sees it but you know your fate  
packing your bags being slow and thorough  
knowing though youre late that ship is sure to wait  
  
sorry cassandra i misunderstood  
now the last day is dawning  
some of us wanted but none of us would  
listen to words of warning  
but on the darkest of nights  
nobody knew how to fight  
and we were caught in our sleep  
sorry cassandra i didnt believe  
you really had the power  
i only saw it as dreams you would weave  
until the final hour  
  
i watched the ship leaving harbor at sunrise  
sails almost slack in the cool morning rain  
she stood on deck just a tiny figure  
rigid and restrained blue eyes filled with pain  
  
sorry cassandra i misunderstood  
now the last day is dawning  
some of us wanted but none of us would  
listen to words of warning  
but on the darkest of nights  
nobody knew how to fight  
and we were caught in our sleep  
sorry cassandra i didnt believe  
you really had the power  
i only saw it as dreams you would weave  
until the final hour  
  
im sorry cassandra  
im sorry cassandra

"
7,ABBA,Chiquitita,/a/abba/chiquitita_20002978.html,"chiquitita tell me whats wrong  
youre enchained by your own sorrow  
in your eyes there is no hope for tomorrow  
how i hate to see you like this  
there is no way you can deny it  
i can see that youre oh so sad so quiet  
  
chiquitita tell me the truth  
im a shoulder you can cry on  
your best friend im the one you must rely on  
you were always sure of yourself  
now i see youve broken a feather  
i hope we can patch it up together  
  
chiquitita you and i know  
how the heartaches come and they go and the scars theyre leaving  
youll be dancing once again and the pain will end  
you will have no time for grieving  
chiquitita you and i cry  
but the sun is still in the sky and shining above you  
let me hear you sing once more like you did before  
sing a new song chiquitita  
try once more like you did before  
sing a new song chiquitita  
  
so the walls came tumbling down  
and your loves a blown out candle  
all is gone and it seems too hard to handle  
chiquitita tell me the truth  
there is no way you can deny it  
i see that youre oh so sad so quiet  
  
chiquitita you and i know  
how the heartaches come and they go and the scars theyre leaving  
youll be dancing once again and the pain will end  
you will have no time for grieving  
chiquitita you and i cry  
but the sun is still in the sky and shining above you  
let me hear you sing once more like you did before  
sing a new song chiquitita  
try once more like you did before  
sing a new song chiquitita  
try once more like you did before  
sing a new song chiquitita

"
8,ABBA,Crazy World,/a/abba/crazy+world_20003013.html,"i was out with the morning sun  
couldnt sleep so i thought id take a walk  
i was thinking of you and me  
and i went to your house cause i had to talk  
  
i could hardly believe my eyes  
when i saw this guy closing your front door  
had the feeling of emptiness like i never had before  
and i closed my eyes will you leave me girl  
  
then i realized its a crazy world  
as he disapeared in his car  
i was stunned and i didnt know what to do  
everything i had ever dreamed  
  
everything in my lifes part of you  
and i just couldnt move my feet  
so i stood on the pavement as you came out  
you acted as you didnt know what it was all about  
  
and i closed my eyes will you leave me girl  
then i realized its a crazy world  
baby how could you do it  
you just told me lies  
  
and you meet behind my back  
with other guys  
baby how could you tell me  
there was only me  
  
i was stupid to believe you  
i was blind but now i see  
then you smiled and you took my hand  
there is something you said that you may not know  
  
theres a couple of men in my life  
and one of them is my brother joe  
hes been gone for a long long time  
but hes back and i think hes gonna stay  
  
youll be seeing a lot of him hes so nice in every way  
then i closed my eyes never leave me girl  
then i realized its a crazy world  
so i closed my eyes never leave me girl  
  
then i realized its a crazy world  
so i closed my eyes never leave me girl  
then i realized its a crazy world

"
9,ABBA,Crying Over You,/a/abba/crying+over+you_20177611.html,"im waitin for you baby  
im sitting all alone  
i feel so cold without you  
it chills me to the bone  
i never thought youd leave me  
but now i know its true  
oh lord im blue  
im cryin over you  
im waitin for you baby  
im sittin all alone  
i feel so cold without you  
it chills me to the bone  
i never thought youd leave me  
but now i know its true  
oh lord im blue  
im cryin over you  
  
cryin over you  
im cryin over you  
cryin over  
little memories of things we used to do  
oh lord im blue  
im cryin over you  
oh lord im blue  
im cryin over you  
oh lord im blue  
im cryin over you

"
